sheet_row,old_job_number,agreement,client_type,council,job_sequence,lot_label,lot_number,notes,old_number_shared,postcode,project_number,project_type,respelled,skip_reason,source_stage,street,street_2,street_number,suburb,title_type,json
191,1725,PWA,Retail,City of Charles Sturt,2,,,,,5022,1036,residential,,,on hold,Henderson St,,8,Henley Beach,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Charles Sturt"",""job_sequence"":2,""postcode"":""5022"",""project_number"":1036,""project_type"":""residential"",""source_stage"":""on hold"",""street"":""Henderson St"",""street_number"":""8"",""suburb"":""Henley Beach""}"
192,1730,PWA,Retail,City of Mitcham,1,,,,,5042,1037,residential,,,,Stanlake Ave,,25,St Marys,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Mitcham"",""job_sequence"":1,""postcode"":""5042"",""project_number"":1037,""project_type"":""residential"",""street"":""Stanlake Ave"",""street_number"":""25"",""suburb"":""St Marys""}"
193,1731,PWA,Retail,City of Mitcham,2,,,,,5042,1037,residential,,,,Stanlake Ave,,25,St Marys,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Mitcham"",""job_sequence"":2,""postcode"":""5042"",""project_number"":1037,""project_type"":""residential"",""street"":""Stanlake Ave"",""street_number"":""25"",""suburb"":""St Marys""}"
194,1763,PWA,Developer,Campbelltown City Council,1,Res 1,,,,5074,1038,residential,,,,Coronation Ave,Res 1,23,Campbelltown,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":1,""lot_label"":""Res 1"",""postcode"":""5074"",""project_number"":1038,""project_type"":""residential"",""street"":""Coronation Ave"",""street_2"":""Res 1"",""street_number"":""23"",""suburb"":""Campbelltown""}"
195,1764,PWA,Developer,Campbelltown City Council,2,Res 2,,,,5074,1038,residential,,,,Coronation Ave,Res 2,23,Campbelltown,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":2,""lot_label"":""Res 2"",""postcode"":""5074"",""project_number"":1038,""project_type"":""residential"",""street"":""Coronation Ave"",""street_2"":""Res 2"",""street_number"":""23"",""suburb"":""Campbelltown""}"
196,1765,PWA,Developer,Campbelltown City Council,3,Res 3,,,,5074,1038,residential,,,,Coronation Ave,Res 3,23,Campbelltown,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":3,""lot_label"":""Res 3"",""postcode"":""5074"",""project_number"":1038,""project_type"":""residential"",""street"":""Coronation Ave"",""street_2"":""Res 3"",""street_number"":""23"",""suburb"":""Campbelltown""}"
197,1766,PWA,Developer,Campbelltown City Council,4,Res 4,,,,5074,1038,residential,,,,Coronation Ave,Res 4,23,Campbelltown,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":4,""lot_label"":""Res 4"",""postcode"":""5074"",""project_number"":1038,""project_type"":""residential"",""street"":""Coronation Ave"",""street_2"":""Res 4"",""street_number"":""23"",""suburb"":""Campbelltown""}"
198,1767,PWA,Developer,Campbelltown City Council,5,Res 5,,,,5074,1038,residential,,,,Coronation Ave,Res 5,23,Campbelltown,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":5,""lot_label"":""Res 5"",""postcode"":""5074"",""project_number"":1038,""project_type"":""residential"",""street"":""Coronation Ave"",""street_2"":""Res 5"",""street_number"":""23"",""suburb"":""Campbelltown""}"
199,1752,PWA,Retail,City of Onkaparinga,1,Lot 1,1,,,5168,1039,residential,,,,Alor Court,,9,Noarlunga Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5168"",""project_number"":1039,""project_type"":""residential"",""street"":""Alor Court"",""street_number"":""9"",""suburb"":""Noarlunga Downs""}"
200,1753,PWA,Retail,City of Onkaparinga,2,Lot 2,2,,,5168,1039,residential,,,,Alor Court,,9,Noarlunga Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5168"",""project_number"":1039,""project_type"":""residential"",""street"":""Alor Court"",""street_number"":""9"",""suburb"":""Noarlunga Downs""}"
201,1754,PWA,Retail,City of Onkaparinga,3,Lot 3,3,,,5168,1039,residential,,,,Alor Court,,9,Noarlunga Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":3,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5168"",""project_number"":1039,""project_type"":""residential"",""street"":""Alor Court"",""street_number"":""9"",""suburb"":""Noarlunga Downs""}"
202,1755,,Retail,City of Onkaparinga,4,Lot 4,4,,,5168,1039,residential,,,,Alor Court,,9,Noarlunga Downs,,"{""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":4,""lot_label"":""Lot 4"",""lot_number"":""4"",""postcode"":""5168"",""project_number"":1039,""project_type"":""residential"",""street"":""Alor Court"",""street_number"":""9"",""suburb"":""Noarlunga Downs""}"
203,1756,PWA,Retail,City of Onkaparinga,5,Lot 5,5,,,5168,1039,residential,,,,Alor Court,,9,Noarlunga Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":5,""lot_label"":""Lot 5"",""lot_number"":""5"",""postcode"":""5168"",""project_number"":1039,""project_type"":""residential"",""street"":""Alor Court"",""street_number"":""9"",""suburb"":""Noarlunga Downs""}"
204,1759,PWA,Retail,City of Playford,1,Lot 2,2,,,5113,1040,residential,,,,Stratton Road,,25,Elizabeth Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":1,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5113"",""project_number"":1040,""project_type"":""residential"",""street"":""Stratton Road"",""street_number"":""25"",""suburb"":""Elizabeth Downs""}"
205,1760,PWA,Retail,City of Playford,2,Lot 1,1,,,5113,1040,residential,,,,Stratton Road,,25,Elizabeth Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":2,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5113"",""project_number"":1040,""project_type"":""residential"",""street"":""Stratton Road"",""street_number"":""25"",""suburb"":""Elizabeth Downs""}"
206,1761,PWA,Retail,City of Playford,3,Lot 2,2,,,5113,1040,residential,,,,Stratton Road,,25,Elizabeth Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":3,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5113"",""project_number"":1040,""project_type"":""residential"",""street"":""Stratton Road"",""street_number"":""25"",""suburb"":""Elizabeth Downs""}"
207,1762,PWA,,City of Playford,4,Lot 3,3,,,5113,1040,residential,,,,Stratton Road,,25,Elizabeth Downs,,"{""agreement"":""PWA"",""council"":""City of Playford"",""job_sequence"":4,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5113"",""project_number"":1040,""project_type"":""residential"",""street"":""Stratton Road"",""street_number"":""25"",""suburb"":""Elizabeth Downs""}"
208,1768,PWA,Retail,City of Playford,1,Lot 1,1,,,5112,1041,residential,,,,Hogarth Road,,233,Elizabeth Grove,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5112"",""project_number"":1041,""project_type"":""residential"",""street"":""Hogarth Road"",""street_number"":""233"",""suburb"":""Elizabeth Grove""}"
209,1769,PWA,Retail,City of Playford,2,Lot 2,2,,,5112,1041,residential,,,,Hogarth Road,,233,Elizabeth Grove,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5112"",""project_number"":1041,""project_type"":""residential"",""street"":""Hogarth Road"",""street_number"":""233"",""suburb"":""Elizabeth Grove""}"
210,1770,PWA,Retail,City of Playford,3,Lot 3,3,,,5112,1041,residential,,,,Hogarth Road,,233,Elizabeth Grove,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":3,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5112"",""project_number"":1041,""project_type"":""residential"",""street"":""Hogarth Road"",""street_number"":""233"",""suburb"":""Elizabeth Grove""}"
211,1771,PWA,Retail,City of Playford,4,Lot 4,4,,,5112,1041,residential,,,,Hogarth Road,,233,Elizabeth Grove,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":4,""lot_label"":""Lot 4"",""lot_number"":""4"",""postcode"":""5112"",""project_number"":1041,""project_type"":""residential"",""street"":""Hogarth Road"",""street_number"":""233"",""suburb"":""Elizabeth Grove""}"
212,1772,PWA,Retail,City of Playford,5,Lot 5,5,,,5112,1041,residential,,,,Hogarth Road,,233,Elizabeth Grove,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":5,""lot_label"":""Lot 5"",""lot_number"":""5"",""postcode"":""5112"",""project_number"":1041,""project_type"":""residential"",""street"":""Hogarth Road"",""street_number"":""233"",""suburb"":""Elizabeth Grove""}"
213,1773,PWA,Retail,City of Playford,6,Lot 6,6,,,5112,1041,residential,,,,Hogarth Road,,233,Elizabeth Grove,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":6,""lot_label"":""Lot 6"",""lot_number"":""6"",""postcode"":""5112"",""project_number"":1041,""project_type"":""residential"",""street"":""Hogarth Road"",""street_number"":""233"",""suburb"":""Elizabeth Grove""}"
214,1777,PWA,Retail,City of Onkaparinga,1,Res 1,,,,5164,1042,residential,,,,Edmund st,Res 1,21,Christie Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":1,""lot_label"":""Res 1"",""postcode"":""5164"",""project_number"":1042,""project_type"":""residential"",""street"":""Edmund st"",""street_2"":""Res 1"",""street_number"":""21"",""suburb"":""Christie Downs""}"
215,1778,PWA,Retail,City of Onkaparinga,2,Res 2,,,,5164,1042,residential,,,,Edmund st,Res 2,21,Christie Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":2,""lot_label"":""Res 2"",""postcode"":""5164"",""project_number"":1042,""project_type"":""residential"",""street"":""Edmund st"",""street_2"":""Res 2"",""street_number"":""21"",""suburb"":""Christie Downs""}"
216,1779,PWA,Retail,City of Onkaparinga,3,Res 3,,,,5164,1042,residential,,,,Edmund st,Res 3,21,Christie Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":3,""lot_label"":""Res 3"",""postcode"":""5164"",""project_number"":1042,""project_type"":""residential"",""street"":""Edmund st"",""street_2"":""Res 3"",""street_number"":""21"",""suburb"":""Christie Downs""}"
217,1780,PWA,Retail,City of Onkaparinga,1,Lot 1,1,,,5173,1043,residential,,,,Valiant Road,,3,Port Willunga,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5173"",""project_number"":1043,""project_type"":""residential"",""street"":""Valiant Road"",""street_number"":""3"",""suburb"":""Port Willunga""}"
218,1781,PWA,Retail,City of Onkaparinga,2,Lot 2,2,,,5173,1043,residential,,,,Valiant Road,,3,Port Willunga,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5173"",""project_number"":1043,""project_type"":""residential"",""street"":""Valiant Road"",""street_number"":""3"",""suburb"":""Port Willunga""}"
219,1782,PWA,Retail,City of Onkaparinga,3,Lot 3,3,,,5173,1043,residential,,,,Valiant Road,,3,Port Willunga,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":3,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5173"",""project_number"":1043,""project_type"":""residential"",""street"":""Valiant Road"",""street_number"":""3"",""suburb"":""Port Willunga""}"
220,1783,PWA,Retail,City of Charles Sturt,1,,,,,5023,1044,residential,{'suburb': 'Findon (single build)'},,,Chapman Street,,1,Findon,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Charles Sturt"",""job_sequence"":1,""postcode"":""5023"",""project_number"":1044,""project_type"":""residential"",""respelled"":{""suburb"":""Findon (single build)""},""street"":""Chapman Street"",""street_number"":""1"",""suburb"":""Findon""}"
221,1784,PWA,Retail,City of Marion,1,Lot 1,1,,,5043,1045,residential,,,,Raggatt Cres,,31,Mitchell Park,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5043"",""project_number"":1045,""project_type"":""residential"",""street"":""Raggatt Cres"",""street_number"":""31"",""suburb"":""Mitchell Park""}"
222,1785,PWA,Retail,City of Marion,2,Lot 2,2,,,5043,1045,residential,,,,Raggatt Cres,,31,Mitchell Park,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5043"",""project_number"":1045,""project_type"":""residential"",""street"":""Raggatt Cres"",""street_number"":""31"",""suburb"":""Mitchell Park""}"
223,1786,PWA,Retail,City of Marion,3,Lot 3,3,,,5043,1045,residential,,,,Raggatt Cres,,31,Mitchell Park,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":3,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5043"",""project_number"":1045,""project_type"":""residential"",""street"":""Raggatt Cres"",""street_number"":""31"",""suburb"":""Mitchell Park""}"
224,1787,PWA,Developer,City of Burnside,1,Lot 1,1,,,5064,1046,residential,,,,Fowlers Road,,1,Glenunga,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Burnside"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5064"",""project_number"":1046,""project_type"":""residential"",""street"":""Fowlers Road"",""street_number"":""1"",""suburb"":""Glenunga""}"
225,1788,PWA,Developer,City of Burnside,2,Lot 2,2,,,5064,1046,residential,,,,Fowlers Road,,1,Glenunga,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Burnside"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5064"",""project_number"":1046,""project_type"":""residential"",""street"":""Fowlers Road"",""street_number"":""1"",""suburb"":""Glenunga""}"
226,1789,PWA,Developer,City of Burnside,3,Lot 3,3,,,5064,1046,residential,,,,Fowlers Road,,1,Glenunga,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Burnside"",""job_sequence"":3,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5064"",""project_number"":1046,""project_type"":""residential"",""street"":""Fowlers Road"",""street_number"":""1"",""suburb"":""Glenunga""}"
227,1790,PWA,Developer,City of Burnside,4,Lot 4,4,,,5064,1046,residential,,,,Fowlers Road,,1,Glenunga,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Burnside"",""job_sequence"":4,""lot_label"":""Lot 4"",""lot_number"":""4"",""postcode"":""5064"",""project_number"":1046,""project_type"":""residential"",""street"":""Fowlers Road"",""street_number"":""1"",""suburb"":""Glenunga""}"
228,1791,PWA,Developer,City of Burnside,5,Lot 5,5,,,5064,1046,residential,,,,Fowlers Road,,1,Glenunga,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Burnside"",""job_sequence"":5,""lot_label"":""Lot 5"",""lot_number"":""5"",""postcode"":""5064"",""project_number"":1046,""project_type"":""residential"",""street"":""Fowlers Road"",""street_number"":""1"",""suburb"":""Glenunga""}"
229,1792,PWA,Retail,City of Salisbury,1,Lot 1,1,,,5098,1047,residential,,,,Lowan Drive,,13,Ingle Farm,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Salisbury"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5098"",""project_number"":1047,""project_type"":""residential"",""street"":""Lowan Drive"",""street_number"":""13"",""suburb"":""Ingle Farm""}"
230,1793,PWA,Retail,City of Salisbury,2,Lot 2,2,,,5098,1047,residential,,,,Lowan Drive,,13,Ingle Farm,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Salisbury"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5098"",""project_number"":1047,""project_type"":""residential"",""street"":""Lowan Drive"",""street_number"":""13"",""suburb"":""Ingle Farm""}"
231,1794,PWA,Retail,City of Salisbury,3,Lot 3,3,,,5098,1047,residential,,,,Lowan Drive,,13,Ingle Farm,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Salisbury"",""job_sequence"":3,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5098"",""project_number"":1047,""project_type"":""residential"",""street"":""Lowan Drive"",""street_number"":""13"",""suburb"":""Ingle Farm""}"
232,1798,PWA,Developer,City of Salisbury,1,Lot 1,1,,,5108,1048,residential,,,,Martins Road,,57,Salisbury,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5108"",""project_number"":1048,""project_type"":""residential"",""street"":""Martins Road"",""street_number"":""57"",""suburb"":""Salisbury""}"
233,1799,PWA,Developer,City of Salisbury,2,Lot 2,2,,,5108,1048,residential,,,,Martins Road,,57,Salisbury,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5108"",""project_number"":1048,""project_type"":""residential"",""street"":""Martins Road"",""street_number"":""57"",""suburb"":""Salisbury""}"
234,1800,PWA,Developer,City of Salisbury,3,Lot 3,3,,,5108,1048,residential,,,,Martins Road,,57,Salisbury,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":3,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5108"",""project_number"":1048,""project_type"":""residential"",""street"":""Martins Road"",""street_number"":""57"",""suburb"":""Salisbury""}"
235,1801,PWA,Retail,City of Marion,1,Lot 1,1,,,5043,1049,residential,,,,Tweed Ave,,2-4,Marion,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5043"",""project_number"":1049,""project_type"":""residential"",""street"":""Tweed Ave"",""street_number"":""2-4"",""suburb"":""Marion""}"
236,1802,PWA,Retail,City of Marion,2,Lot 1,1,,,5043,1049,residential,,,,Tweed Ave,,2-4,Marion,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":2,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5043"",""project_number"":1049,""project_type"":""residential"",""street"":""Tweed Ave"",""street_number"":""2-4"",""suburb"":""Marion""}"
237,1803,PWA,Retail,City of Marion,3,Lot 3,3,,,5043,1049,residential,,,,Tweed Ave,,2-4,Marion,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":3,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5043"",""project_number"":1049,""project_type"":""residential"",""street"":""Tweed Ave"",""street_number"":""2-4"",""suburb"":""Marion""}"
238,1804,PWA,Retail,City of Marion,4,Lot 4,4,,,5043,1049,residential,,,,Tweed Ave,,2-4,Marion,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":4,""lot_label"":""Lot 4"",""lot_number"":""4"",""postcode"":""5043"",""project_number"":1049,""project_type"":""residential"",""street"":""Tweed Ave"",""street_number"":""2-4"",""suburb"":""Marion""}"
239,1805,PWA,Retail,City of Marion,5,Lot 5,5,,,5043,1049,residential,,,,Tweed Ave,,2-4,Marion,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":5,""lot_label"":""Lot 5"",""lot_number"":""5"",""postcode"":""5043"",""project_number"":1049,""project_type"":""residential"",""street"":""Tweed Ave"",""street_number"":""2-4"",""suburb"":""Marion""}"
240,1825,PWA,Retail,City of Onkaparinga,1,Lot 1,1,,,5164,1050,residential,,,,Alexander Cres,,40,Christie Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5164"",""project_number"":1050,""project_type"":""residential"",""street"":""Alexander Cres"",""street_number"":""40"",""suburb"":""Christie Downs""}"
241,1826,PWA,Retail,City of Onkaparinga,2,Lot 2,2,,,5164,1050,residential,,,,Alexander Cres,,40,Christie Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5164"",""project_number"":1050,""project_type"":""residential"",""street"":""Alexander Cres"",""street_number"":""40"",""suburb"":""Christie Downs""}"
242,1827,PWA,Retail,City of Onkaparinga,3,Lot 3,3,,,5164,1050,residential,,,,Alexander Cres,,40,Christie Downs,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Onkaparinga"",""job_sequence"":3,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5164"",""project_number"":1050,""project_type"":""residential"",""street"":""Alexander Cres"",""street_number"":""40"",""suburb"":""Christie Downs""}"
243,1828,PWA,Developer,City of Marion,1,,,,,5043,1051,residential,,,,Grafton / 42 Austral Avenue,,9,Morphettville,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":1,""postcode"":""5043"",""project_number"":1051,""project_type"":""residential"",""street"":""Grafton / 42 Austral Avenue"",""street_number"":""9"",""suburb"":""Morphettville""}"
244,1829,PWA,Developer,City of Marion,2,,,,,5043,1051,residential,,,,Grafton / 42 Austral Avenue,,9,Morphettville,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":2,""postcode"":""5043"",""project_number"":1051,""project_type"":""residential"",""street"":""Grafton / 42 Austral Avenue"",""street_number"":""9"",""suburb"":""Morphettville""}"
245,1830,PWA,Developer,City of Marion,3,,,,,5043,1051,residential,,,,Grafton / 42 Austral Avenue,,9,Morphettville,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":3,""postcode"":""5043"",""project_number"":1051,""project_type"":""residential"",""street"":""Grafton / 42 Austral Avenue"",""street_number"":""9"",""suburb"":""Morphettville""}"
246,1831,PWA,Developer,City of Marion,4,,,,,5043,1051,residential,,,,Grafton / 42 Austral Avenue,,9,Morphettville,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":4,""postcode"":""5043"",""project_number"":1051,""project_type"":""residential"",""street"":""Grafton / 42 Austral Avenue"",""street_number"":""9"",""suburb"":""Morphettville""}"
247,1832,PWA,Developer,City of Marion,5,,,,,5043,1051,residential,,,,Grafton / 42 Austral Avenue,,9,Morphettville,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":5,""postcode"":""5043"",""project_number"":1051,""project_type"":""residential"",""street"":""Grafton / 42 Austral Avenue"",""street_number"":""9"",""suburb"":""Morphettville""}"
248,1833,PWA,Developer,City of Marion,6,,,,,5043,1051,residential,,,,Grafton / 42 Austral Avenue,,9,Morphettville,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":6,""postcode"":""5043"",""project_number"":1051,""project_type"":""residential"",""street"":""Grafton / 42 Austral Avenue"",""street_number"":""9"",""suburb"":""Morphettville""}"
249,1837,PWA,Retail,City of Marion,1,,,,,5043,1052,residential,{'suburb': 'Mitchel Park'},,,Raggatt Cres,,20,Mitchell Park,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":1,""postcode"":""5043"",""project_number"":1052,""project_type"":""residential"",""respelled"":{""suburb"":""Mitchel Park""},""street"":""Raggatt Cres"",""street_number"":""20"",""suburb"":""Mitchell Park""}"
250,1838,PWA,Retail,City of Marion,2,,,,,5043,1052,residential,{'suburb': 'Mitchel Park'},,,Raggatt Cres,,20,Mitchell Park,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":2,""postcode"":""5043"",""project_number"":1052,""project_type"":""residential"",""respelled"":{""suburb"":""Mitchel Park""},""street"":""Raggatt Cres"",""street_number"":""20"",""suburb"":""Mitchell Park""}"
251,1839,PWA,Retail,City of Marion,3,,,,,5043,1052,residential,{'suburb': 'Mitchel Park'},,,Raggatt Cres,,20,Mitchell Park,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":3,""postcode"":""5043"",""project_number"":1052,""project_type"":""residential"",""respelled"":{""suburb"":""Mitchel Park""},""street"":""Raggatt Cres"",""street_number"":""20"",""suburb"":""Mitchell Park""}"
252,1840,PWA,Retail,City of Playford,1,,,,,5115,1053,residential,,,,Maltarra Rd,,41,Munno Para,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":1,""postcode"":""5115"",""project_number"":1053,""project_type"":""residential"",""street"":""Maltarra Rd"",""street_number"":""41"",""suburb"":""Munno Para""}"
253,1841,PWA,Retail,City of Playford,2,,,,,5115,1053,residential,,,,Maltarra Rd,,41,Munno Para,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":2,""postcode"":""5115"",""project_number"":1053,""project_type"":""residential"",""street"":""Maltarra Rd"",""street_number"":""41"",""suburb"":""Munno Para""}"
254,1842,PWA,Retail,City of Playford,3,,,,,5115,1053,residential,,,,Maltarra Rd,,41,Munno Para,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Playford"",""job_sequence"":3,""postcode"":""5115"",""project_number"":1053,""project_type"":""residential"",""street"":""Maltarra Rd"",""street_number"":""41"",""suburb"":""Munno Para""}"
255,1846,PWA,Developer,City of Onkaparinga,1,Lot 1,1,,,5161,1054,residential,{'suburb': '(AKA 21 Jessamine ave) Reynella'},,,Kareela Rd,,8,Reynella,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5161"",""project_number"":1054,""project_type"":""residential"",""respelled"":{""suburb"":""(AKA 21 Jessamine ave) Reynella""},""street"":""Kareela Rd"",""street_number"":""8"",""suburb"":""Reynella""}"
256,1847,PWA,Developer,City of Onkaparinga,2,Lot 2,2,,,5161,1054,residential,{'suburb': '(AKA 21 Jessamine ave) Reynella'},,,Kareela Rd,,8,Reynella,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5161"",""project_number"":1054,""project_type"":""residential"",""respelled"":{""suburb"":""(AKA 21 Jessamine ave) Reynella""},""street"":""Kareela Rd"",""street_number"":""8"",""suburb"":""Reynella""}"
