sheet_row,old_job_number,agreement,client_type,council,job_sequence,lot_label,lot_number,notes,old_number_shared,postcode,project_number,project_type,respelled,skip_reason,source_stage,street,street_2,street_number,suburb,title_type,json
13,1126 - D9,PWA,Developer,City of Onkaparinga,1,Lot 9,9,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":1,""lot_label"":""Lot 9"",""lot_number"":""9"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
14,1126 - D8,PWA,Developer,City of Onkaparinga,2,Lot 8,8,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":2,""lot_label"":""Lot 8"",""lot_number"":""8"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
15,1126 - D7,PWA,Developer,City of Onkaparinga,3,Lot 7,7,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":3,""lot_label"":""Lot 7"",""lot_number"":""7"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
16,1126 - D6,PWA,Developer,City of Onkaparinga,4,Lot 6,6,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":4,""lot_label"":""Lot 6"",""lot_number"":""6"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
17,1126 - D5,PWA,Developer,City of Onkaparinga,5,Lot 5,5,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":5,""lot_label"":""Lot 5"",""lot_number"":""5"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
18,1126 - D4,PWA,Developer,City of Onkaparinga,6,Lot 4,4,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":6,""lot_label"":""Lot 4"",""lot_number"":""4"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
19,1126 - D3,PWA,Developer,City of Onkaparinga,7,Lot 3,3,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":7,""lot_label"":""Lot 3"",""lot_number"":""3"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
20,1126 - D2,PWA,Developer,City of Onkaparinga,8,Lot 2,2,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":8,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
21,1126 - D12,PWA,Developer,City of Onkaparinga,9,Lot 12,12,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":9,""lot_label"":""Lot 12"",""lot_number"":""12"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
22,1126 - D11,PWA,Developer,City of Onkaparinga,10,Lot 11,11,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":10,""lot_label"":""Lot 11"",""lot_number"":""11"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
23,1126 - D10,PWA,Developer,City of Onkaparinga,11,Lot 10,10,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":11,""lot_label"":""Lot 10"",""lot_number"":""10"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
24,1126 - D1,PWA,Developer,City of Onkaparinga,12,Lot 1,1,,,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":12,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
25,1426,PWA,Retail,City of Salisbury,1,,,,,5096,1008,residential,,,cancelling,A Dennis Crescent,,5,Para Hills,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Salisbury"",""job_sequence"":1,""postcode"":""5096"",""project_number"":1008,""project_type"":""residential"",""source_stage"":""cancelling"",""street"":""A Dennis Crescent"",""street_number"":""5"",""suburb"":""Para Hills""}"
26,1399,PWA,Developer,City of Norwood Payneham & St Peters,1,,,,True,5067,1009,residential,{'street_number': '#78'},,in doubt,Queen Street,,78,Norwood,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Norwood Payneham & St Peters"",""job_sequence"":1,""old_number_shared"":true,""postcode"":""5067"",""project_number"":1009,""project_type"":""residential"",""respelled"":{""street_number"":""#78""},""source_stage"":""in doubt"",""street"":""Queen Street"",""street_number"":""78"",""suburb"":""Norwood""}"
27,1399,PWA,Developer,City of Norwood Payneham & St Peters,2,,,,True,5067,1009,residential,{'street_number': '#78'},,in doubt,Queen Street,,78,Norwood,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Norwood Payneham & St Peters"",""job_sequence"":2,""old_number_shared"":true,""postcode"":""5067"",""project_number"":1009,""project_type"":""residential"",""respelled"":{""street_number"":""#78""},""source_stage"":""in doubt"",""street"":""Queen Street"",""street_number"":""78"",""suburb"":""Norwood""}"
28,1399,PWA,Developer,City of Norwood Payneham & St Peters,3,,,,True,5067,1009,residential,,,in doubt,Queen Street,,78,Norwood,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Norwood Payneham & St Peters"",""job_sequence"":3,""old_number_shared"":true,""postcode"":""5067"",""project_number"":1009,""project_type"":""residential"",""source_stage"":""in doubt"",""street"":""Queen Street"",""street_number"":""78"",""suburb"":""Norwood""}"
29,1382,PWA,Developer,City of Port Adelaide Enfield,1,Lot 1,1,,True,5093,1010,residential,,,on hold,Nelson Road,,124,Valley View,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Port Adelaide Enfield"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""old_number_shared"":true,""postcode"":""5093"",""project_number"":1010,""project_type"":""residential"",""source_stage"":""on hold"",""street"":""Nelson Road"",""street_number"":""124"",""suburb"":""Valley View""}"
30,1380,PWA,Retail,City of Unley,1,,,,,5063,1011,residential,,,in doubt,Cootra Avenue,,1a,Parkside,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Unley"",""job_sequence"":1,""postcode"":""5063"",""project_number"":1011,""project_type"":""residential"",""source_stage"":""in doubt"",""street"":""Cootra Avenue"",""street_number"":""1a"",""suburb"":""Parkside""}"
